relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0030526.pdf_386_386_30_30_15_15_UNSUP	LGN/HP:0000501|Glaucoma	{30}	{15}	{The,correlation,coefficients,between,the,mean,PBRpositive,cell,numbers,in,LGN,layers,receiving,input,from,glaucoma,eye,and,percent,changes,of,GFAP,-,",",Ibalimmunoreactivity,",",or,soma,size,in,LGN,",",or,optic,nerve,axons,were,0.512,(,P,=,0.378,",",n,=,5,),",",0.064,(,P,=,0.918,",",n,=,5,),",",-0.199,(,P,=,0.748,",",n,:,5,),",",and,-0.426,(,P,=,0.475,",",n,=,5,),",",respectively,.}	{"7 and 8 ) .","Next , we performed Pearson correlation coefficient analysis between PBR and GFAP , Iba-1 , LGN degeneration ( soma size ) , or optic nerve axons ( a glaucoma severity ) in each of ﬁve glaucoma monkeys ."}	{"In these comparisons , some parameters showed higher correlation coefﬁcients of 0.512 ( between PBR and GFAP ) and -0.426 ( between PBR and optic nerve axons ) than other parameters , but did not show any signiﬁcance .","On the other hand , there was a signiﬁcant correlation ( r = 0.923 , P : 0.025 , n = 5 ) between percent changes of axon numbers in optic nerve and soma size in LGN ."}	0.206
RELATION_GENEHPOTERM_journal.pone.0022819.pdf_424_424_4_4_33_35	PC/HP:0001677|Coronary artery disease	{4}	{33,34,35}	{Kyriazi,E,",",Tsiotra,PC,",",Boutati,E,",",Ikonomidis,I,",",Fountoulaki,K,",",et,al.,(,2011,),Effects,of,Adiponectin,in,TNF-OL,",",IL-6,",",and,IL-10,Cytokine,Production,from,Coronary,Artery,Disease,1,"\\\\",’,Iacrophages,.}	{"Yamauchi T , Ka_mon J , VVaki H , Imai Y , Shimozawa N , et al. ( 2003 ) Globular adiponectin protected ob / ob mice from diabetes and ApoE-deﬁcient mice from atherosclerosis .","J Biol Chem 278 : 2461 — 2468 ."}	{"Horm 1 \\\\ ’ Ietab Res , [ Epub ahead of print ] .","Zoico E , Garbin U , Olioso D , 1 \\\\ Iazza1i G , Fratta Pasini Al \\\\ ’ I , et al. ( 2009 ) The effects of adiponectin on interleukin-6 and IVICP-1 secretion in lipopolysaccha ~ ride ~ treated 3T3-L1 adipocytes : role of the NF-kappaB pathway ."}	0.046
RELATION_GENEHPOTERM_SCPDFS_18739.pdf_525_525_5_5_8_10	LMNA/HP:0003741|Congenital muscular dystrophy	{5}	{8,9,10}	{A,novel,mutation,in,the,LMNA,gene,causes,congenital,muscular,dystrophy,with,dropped,head,and,brain,involvement,.}	{"21 , 3513-3523 .","Hattori , A. , et al. , 2012 ."}	{"Neuromuscul .","Disord ."}	0.756
RELATION_GENEHPOTERM_SUP_F_G_journal.ppat.1001339.pdf_591_591_1_1_16_16_UNSUP	PNI/HP:0002099|Asthma	{1}	{16}	{Hansbro,PNI,",",Kaiko,GE,",",Foster,PS,(,2011,),Cytokine/anti-cytokine,therapy,novel,treatments,for,asthma,?}	{"Chen L , Lei L , Chang X , Li Z , Lu C , et al. ( 2010 ) lVIice deficient in lVIyD88 Develop a Th2-dominant response and severe pathology in the upper genital tract following Chlangydia muridarum infection .","J Immunol 184 : 2602-2610 ."}	{"BrJ Pharmacol In Press .",.}	0.1
RELATION_GENEHPOTERM_SUP_F_H_journal.pgen.1004082.pdf_111_111_23_23_41_41_UNSUP	ADF/neuron	{23}	{41}	{We,observed,mcherry-ODR-8,expression,in,10,head,neurons,",",the,amphid,neurons,ADL,",",ASI,",",ASH,",",AS,],",",ASG,",",ADF,",",ASK,",","A\\\\/VA",",","A\\\\/VB",",",AWG,",",and,in,two,tail,neurons,",",the,phasmid,neurons,PHA,and,PHB,.}	{"Green and red ﬂuorescence in these animals overlapped , consistent with ODR — 4 and ODR — 8 functioning in the same neurons ( Figure 2A ) .","We explicitly identiﬁed odr — 8 expressing neurons using the stereotyped position of C. elegans neurons and DiO dye-ﬁlling and a p0dr — 3 : : g ] f0 transgene as ﬁduciary markers ."}	{"These are all the cells previously reported to express odr — 4 [ 20 ] .","We did not detect expression in any additional neurons ."}	0.056
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0018132.pdf_266_266_21_21_25_26_UNSUP	ON/HP:0100653|Optic neuritis	{21}	{25,26}	{BPF,=,brain,parenchymal,fraction,",",RNFLT,:,retinal,nerve,fiber,layer,thickness,",",TMV,=,tota,|,macular,volume,",",ON,=,history,of,optic,neuritis,",",CI,=,conﬁdence,interval,.}	{"For better clarity , coefﬁcients are only given for factors that reached statistical signiﬁcance .","Standardized Beta was calculated as described in the Methods section ."}	{"doizi0 .1371 / journa | .","pone ."}	0.146
RELATION_GENEHPOTERM_journal.pone.0067266.pdf_530_530_4_4_25_25	AS/HP:0001297|Stroke	{4}	{25}	{Roger,VL,",",Go,AS,",",Lloyd-Jones,Dl,"\\\\",I,",",Benjamin,E,],",",BerryJD,",",et,al.,(,2012,),Heart,disease,and,stroke,statistics42012,update,:,a,report,from,the,American,Heart,Association,.}	{"VValsh S , Ponten A , Fleischmann BK , Jovinge S ( 2010 ) Cardiomyocyte cell cycle control and growth estimation in vivo4an analysis based on cardiomyocyte nuclei .","Cardiovasc Res 86 : 3654373 ."}	{"Circulation 125 : e24e220 .","Beltrami AP , Urbanek K , Kajsturaj , Yan Sl \\\\ I , Finato N , et al. ( 2001 ) Evidence that human cardiac myocytes divide after myocardial infarction ."}	0.054
RELATION_GENEHPOTERM_journal.ppat.1000249.pdf_292_292_22_22_2_3	AST/HP:0002605|Hepatic necrosis	{22}	{2,3}	{The,increased,hepatic,necrosis,in,the,C3,_,/,_,mice,resulted,in,higher,levels,of,liver,enzymes,",",aspartate,aminotransferase,(,AST,),and,alanine,aminotransferase,(,ALT,),",",in,the,serum,on,day,7,(,P,=,0.008,",",0.0503,",",respectively,",",Figure,4F,),.}	{"ppat .1000249 .",g004}	{"The AST and ALT levels positively correlated with the viral burden ( Figure 4G ) .","Most C3 _ / _ mice died between day 7 and 10 ( Figure 1C ) ."}	0.11
RELATION_GENEHPOTERM_journal.pone.0091815.pdf_248_248_11_11_34_34	GAP/HP:0002669|Osteosarcoma	{11}	{34}	{To,summarize,",",we,have,identiﬁed,the,Rac1,-,and,Cdc42-speciﬁc,GAP,",",cdGAP,as,a,key,mediator,of,FA,based,mechanosensing,of,the,ECM,and,as,an,important,regulator,of,durotaxis,in,U208,osteosarcoma,cells,.}	{"The paxillin LDI motif , which is just amino-terminal to Y31 , recruits complexes containing ILK , actopaxin , and cdGAP to FAs [ l6 ,4 l — 43 ] .","Thus , cdGAP may be an important component of this scaffold and signaling complex that controls the cycling of Racl through its GTP and GDP bound states and thereby regulates force ﬂuctuations in FAs , rigidity sensing , and durotaxis ."}	{"It will be important in future studies to understand how cdGAP ’s function in rigidity-dependent adhesion maturation and durotaxis may be inﬂuenced by regulation of its GAP activity or through altered protein-protein interactions with actopaxin or as yet undescribed binding partners in FAs .","Recently identiﬁed mutations to cdGAP in cancer patients ( Cancer Genome ATLAS Project ) , as well as those that have been reported in Adams-Oliver Syndrome , may also provide an interesting basis for further understanding the mechanisms underlying cdGAP ’s regulation of mechanosensing and how speciﬁc defects in the cellular response to rigidity can lead to disease [ 17 ] ."}	0.062
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0081615.pdf_180_180_32_33_20_21_UNSUP	insulin_resistance/HP:0000855|Insulin resistance	{32,33}	{20,21}	{Multiple,regression,analysis,Having,demonstrated,that,GDM,is,characterized,by,elevated,level,of,SPARC,",",which,in,turn,related,to,insulin,resistance,",",we,next,queried,whether,the,relationship,between,SPARC,and,insulin,resistance,is,independent,of,the,other,metabolic,parameters,.}	{"l85 , p = 0.0 l4 ) , inﬂammatory markers including hsCRP ( r = 0.189 , p = 0.011 ) and WBC count ( r = 0.236 , p = 0.002 ) ; and negatively related to ISIOGTT ( r = -0.245 , p = 0.001 ) .","Differently from results of Pearson correlation analysis , SPARC lost its correlations with lipoprotein ApoA1 , ApoB and Lp ( a ) in Spearman analysis , but showed marginally signiﬁcant correlation with adiponectin ( r = -0.126 , p = 0.090 ) , systolic blood pressure ( r = 0.147 , p = 0.064 ) and TG ( r = 0.129 , p = 0.086 ) ."}	{"Multivariate stepwise regression analysis with logarithmically transferred ISIOGTT as a dependent variable was applied to investigate the relationship .","SPARC ( [ 3 : -0.156 , p = 0.030 ) , adiponectin ( B = 0.295 , p < 0.001 ) , fasting proinsulin ( B = -0.365 , p < 0.001 ) , hsCRP ( B = -0.236 , p = 0.001 ) and TG ( B = -0.162 , p = 0.032 ) were independently associated with insulin sensitivity as estimated by ISIOGTT ( Table 3 ) ."}	0.282
RELATION_GENEHPOTERM_SUP_MAP_journal.pgen.1000704.pdf_7_7_3_3_1_1	FRDA/HP:0001251|Ataxia	{3}	{1}	{Friedreich,ataxia,(,FRDA,),is,a,relentlessly,progressive,neurodegenerative,disorder,caused,by,GAA,-,',|,',|,',C,repeat,expansion,in,the,first,intron,of,the,FXN,gene,.}	{Abstract,"Trinucleotide repeat expansion is the genetic basis for a sizeable group of inherited neurological and neuromuscular disorders ."}	{"The expanded repeat reduces FXN mRNA expression and the length of the repeat tract is proportional to disease severity .","Somatic expansion of the GAA - ' | ' | ' C repeat sequence in disease — re | evant tissues is thought to contribute to the progression of disease severity during patient aging ."}	0.896
RELATION_GENEHPOTERM_journal.pone.0097921.pdf_287_287_22_22_27_28	BAK/HP:0010628|Facial palsy	{22}	{27,28}	{Values,of,sensitivity,for,the,DED,tests,in,the,following,conditions,:,SS,",",GVHD,",",Graves,Orbitopathy,",",glaucoma,treatment,with,BAK,preserved,eye,drops,",",facial,palsy,and,DM,.}	{tO04,"Table 5 ."}	{"Data expressed in % and confidence interval of 95 % .","Sjogren GVHD Graves BAK Facial palsy DM"}	0.542
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0081222.pdf_267_267_11_11_7_8_UNSUP	DMD/HP:0001324|Muscle weakness	{11}	{7,8}	{This,has,been,used,to,explain,the,muscle,weakness,observed,in,DMD,patients,.}	{"In addition to its role as an L-type Ca2 + channel the DHPR operates as voltage sensor for both excitation-contraction and excitation-transcription coupling in adult muscle ﬁbers [ 8 — l0 ] .","Dystrophic mdx skeletal muscle cells have a dysregulated excitation-contraction coupling as evidenced by reduced calcium transients evoked by single action potentials compared with wt ﬁbers [ 34,35 ] ."}	{"On the other hand , there is a controversy related to whether there are alterations of Ltype Ca2 + currents in mdx muscles , with some studies showing normal maximum currents [ 5 ] while others show decreased maximum current [ 6,7 ] .","No differences have been found in charge movement between normal and dystrophic skeletal muscle ﬁbers [ 5,36 ] ."}	0.226
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0051681.pdf_49_49_33_33_20_20_UNSUP	CD20/HP:0002665|Lymphoma	{33}	{20}	{In,addition,",",to,gain,insight,into,the,possible,inﬂuence,of,therapy,on,microenvironment,and,tumor,cells,in,gastric,MALT,lymphoma,",",we,evaluated,the,kinetics,of,CD3,+,",",FOXP3,+,and,CD20,+,cells,by,immunohistochemistry,after,treatment,and,during,long-term,follow-up,.}	{"To further characterize the role of Treg cells in gastric MALT lymphoma , we analyzed a consecutive series of patients with gastric MALT lymphoma by quantifying the number of inﬁltrating CD3 + and FOXP3 + cells at diagnosis , and by describing the distribution pattern of FOXP3 + cells within the tumor .","In order to know whether the microenvironment in gastric MALT lymphoma was more like a reactive condition or an aggressive lymphoma , we carried out the same study on samples with chronic gastritis and diffuse large B-cell lymphoma ( DLBCL ) of the stomach ."}	{"Materials and Methods","Inclusion criteria and work — up Patients consecutively diagnosed with gastric MALT lymphoma in a single institution between 2000 and 2010 were included in the present study , with the only criterion for inclusion being the availability of histologic material ."}	0.484
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0049113.pdf_20_20_39_39_18_18_UNSUP	HR/HP:0000726|Dementia	{39}	{18}	{Patients,with,long,—,term,insomnia,and,aged,50,to,65,years,had,a,higher,increased,risk,of,dementia,(,HR,",",5.22,;,95,%,CI,",",2.62,—,10.41,),than,those,older,than,65,years,(,HR,",",2.33,;,95,%,CI,",",1.90-2,.88,),.}	{"Results : We identified 5693 subjects with long — term insomnia and 28,465 individuals without .","After adjusting for hypertension , diabetes mellitus , hyperlipidemia , and stroke , those with long — term insomnia had significantly higher risks of dementia ( HR , 2.34 ; 95 % CI , 1.92-2 .85 ) ."}	{"The use of hypnotics with a longer ha | f — | ife and at a higher prescribed dose predicted a greater increased risk of dementia .","Conclusions : Patients with long — term use of hypnotics have more than a 2-fold increased risk of dementia , especially those aged 50 to 65 years ."}	0.066
RELATION_GENEHPOTERM_SCPDFS_18240.pdf_235_235_4_4_2_3	IN/HP:0000175|Cleft palate	{4}	{2,3}	{CAUSE,OF,CLEFT,PALATE,IN,i,"\\\\",',IICE,WITH,CLEFT,LIP,j,+}	{"Furthermore , there is evidence from palate closure patterns , that the shelf movement in cleft lip embryos is not retarded until after shelf movement begins .","We feel , therefore , that there is no need to postulate an inherent defect in the ability of the shelf to close — the mechanical obstruction of the tongue is a sufficient explanation ."}	{"SUMMARY AND CONCLUSIONS","This paper presents an explanation for the cleft palate frequently associated with spontaneous cleft lip ."}	0.02
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0050988.pdf_200_200_26_26_30_30_UNSUP	S6/HP:0003006|Neuroblastoma	{26}	{30}	{Gene,expression,analysis,of,the,validated,genes,Interestingly,",",all,these,genes,were,highly,up-regulated,(,p,—,vaZue,<,o.,ol,",",see,Supplementary,Table,S6,),in,aggressive,neuroblastoma,tumors,(,stage,4,",",with,M1,”,CW,ampliﬁcation,),in,comparison,to,non-aggressive,tumors,(,stage,1,without,M1/CJV,ampliﬁcation,),.}	{"The overlap showed a potential enrichment ( p — vzzlue = O. l4 ) .","We did not ﬁnd a corresponding phenotype in a genome-wide HeLa cell screen ( Mitocheck database , http://www.mitocheck.org/cgi-bin/mtc ) ."}	{"Furthermore , all six genes showed a good prediction performance for overall survival ( see Supplementary Table S6 ) .","Kaplan Meier plots for SMo and DLGAP5 are shown in Supplementary Figure S3 ."}	0.28
RELATION_GENEHPOTERM_SUP_F_G_journal.pgen.1002580.pdf_50_50_16_16_10_11_UNSUP	MI/HP:0005214|Intestinal obstruction	{16}	{10,11}	{About,15,%,of,newborns,with,CF,suffer,from,an,intestinal,obstruction,called,meconium,ileus,(,MI,),",",and,studies,in,CF,twins,have,shown,that,modifier,genes,play,a,substantial,role,in,the,development,of,this,complication,.}	{"Author Summary","Cystic fibrosis ( CF ) is a monogenic disease with considerable phenotypic variability ."}	{"We used a fami | y — based study design to enrich for genetic modifiers of MI and found that variations in the MSRA gene , represented by combinations of SNPs , or haplotypes , were protective against this manifestation of CF. We investigated association between one of the MSRA haplotypes and MI in an independent sample of CF patients and showed that it had a similar protective effect .","Furthermore , CF mice lacking Msra expression had lower mortality due to intestinal obstruction at the time of transitioning to solid food and lived longer than CF mice with normal Msra , thus supporting the protective effect of the haplotype we observed in human CF subjects ."}	0.172
RELATION_GENEHPOTERM_journal.pone.0079030.pdf_252_252_7_7_39_40	LD/HP:0002140|Ischemic stroke	{7}	{39,40}	{Soliman,EZ,",",Prineas,RJ,",",Case,LD,",",Zhang,Zl,"\\\\",’,I,",",Goff,DC,",",Jr.,(,2009,),Ethnic,distribution,of,ECG,predictors,of,atrial,ﬁbrillation,and,its,impact,on,understanding,the,ethnic,distribution,of,ischemic,stroke,in,the,Atherosclerosis,Risk,in,Communities,(,ARIC,),study,.}	{"The ARIC investigators .","AmJ Epidemiol 129 : 687 — 702 ."}	{"Stroke 40 : 120441211 .","Alonso A , Agarwal SK , Soliman EZ , Ambrose l \\\\ ’ I , Chamberlain Al \\\\ ’ I , et al. ( 2009 ) Incidence of atrial ﬁbrillation in whites and African-Americans : the Atherosclerosis Risk in Communities ( ARIC ) study ."}	0.072
RELATION_GENEHPOTERM_journal.pone.0054512.pdf_635_635_1_1_14_14	GC/HP:0000726|Dementia	{1}	{14}	{Roman,GC,(,2002,),Vascular,dementia,may,be,the,most,common,form,of,dementia,in,the,e1derly,.}	{"Neuroimage 55 : 176 — 184 .","3 ."}	{"J Neurol Sci 203 * 204 : 7 * 10 .","4 ."}	0.214
RELATION_GENEHPOTERM_journal.pone.0036672.pdf_420_420_12_12_21_21	NOS2/HP:0002099|Asthma	{12}	{21}	{Table,S5,Associations,between,Single,Nucleotide,Polymorphisms,belonging,to,NOS,],",",NOS2,and,NOS3,with,blood,eosinophil,count,according,to,asthma,status,(,univariate,analyses,),.}	{"NO3 level in plasma according to asthma status ( univariate analyses ) .","( XI-S )"}	{"( XLS )",Acknowledgments}	0.498
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0079545.pdf_523_523_15_15_5_5_UNSUP	insulin/HP:0003074|Hyperglycemia	{15}	{5}	{in,the,neonate,rat,recapitulates,hyperglycemia,with,low,",",but,not,"null",",",levels,of,insulin,.}	{"PLOS ONE | www .","p | osone.org 8 November 2013 | Volume 8 | Issue 11 | e79545"}	{"Insulin has neuroprotective effects [ 40 ] and the lack of insulin , as a neuro-trophic factor , encourages the loss of retinal neurons observed in diabetes [ 41 ] and possibly in hyperglycemic premature babies with ROP .","We dosed the STZ so that our animals do not require insulin injections for survival , to avoid the potential neuro-trophic effects that would interfere with the model ."}	0.784
RELATION_GENEHPOTERM_journal.pone.0098194.pdf_163_163_2_2_8_8	CXCR4/HP:0002665|Lymphoma	{2}	{8}	{Expression,of,CXCR4,receptor,gene,in,homogenates,of,lymphoma,and,reactive,lymph,nodes,.}	{"Diffuse large B-cell lymphoma","Figure 1 ."}	{"Specific colors highlight histological types of lymphoma , ( AU — arbitrary units ) doi :10.1371 / journa | .","pone ."}	0.37
RELATION_GENEHPOTERM_journal.pone.0009718.pdf_431_431_25_25_28_29	resistin/HP:0000855|Insulin resistance	{25}	{28,29}	{Smith,S,",",Bai,F,",",Charbonneau,C,",",Janderova,L,",",Argyropoulos,G,(,2003,),A,promoter,genotype,and,oxidative,stress,potentially,link,resistin,to,human,insulin,resistance,.}	{"C110 Y , Youn B , Chung S , Kim K , Lee H , et al. ( 2004 ) Common genetic polymorphisms in the promoter of resistin gene are major determinants of plasma resistin concentrations in humans .","Diabetologia 47 : 559-565 ."}	{"Diabetes 52 : 16114618 .",.}	0.038
RELATION_GENEHPOTERM_journal.pone.0096167.pdf_338_338_11_11_27_29	BAL/HP:0001575|Mood changes	{11}	{27,29}	{As,current,measures,of,mood,did,not,differ,signiﬁcantly,between,the,BAL,and,APTD,conditions,",",it,can,be,assumed,that,this,effect,is,not,attributable,to,changes,in,mood,.}	{"In this context , our observation that APTD does not inﬂuence pain sensation does not preclude any effect of dopamine on pain sensation but suggests that dopamine modulates pain affect rather than pain sensation .","Dopamine and Affective Aspects of Pain Our results show that painful stimuli are experienced as signiﬁcantly more unpleasant , but not intense , when the cerebral dopamine levels are transiently decreased ."}	{"DA-speciﬁcity of these ﬁndings is supported by a positive correlation between increases in pain unpleasantness and decreases in cerebral DA availability under APTD .","A role for DA in pain affect has been suggested by the large anatomical and functional overlap between DA rich brain areas and areas involved in the processing of pain affect [ 2,20 ] ."}	0.066
